posicao,codigo_ibge,municipio,unidade_federativa,populacao,is_capital
3190,2102374,Cachoeira Grande,Maranhão,9431,FALSE
3191,2204659,Ilha Grande,Piauí,9426,FALSE
3192,4112405,Japurá,Paraná,9425,FALSE
3193,3102704,Cachoeira de Pajeú,Minas Gerais,9412,FALSE
3194,3113503,Carbonita,Minas Gerais,9405,FALSE
3195,2310001,Palhano,Ceará,9386,FALSE
3196,2705804,Olho d'Água do Casado,Alagoas,9373,FALSE
3197,3515350,Euclides da Cunha Paulista,São Paulo,9371,FALSE
3198,4100301,Agudos do Sul,Paraná,9371,FALSE
3199,3554409,Terra Roxa,São Paulo,9370,FALSE
3200,3305307,São Sebastião do Alto,Rio de Janeiro,9357,FALSE
3201,3171030,Verdelândia,Minas Gerais,9355,FALSE
3202,2933406,Wagner,Bahia,9345,FALSE
3203,2927101,Rodelas,Bahia,9331,FALSE
3204,3545407,Salto Grande,São Paulo,9331,FALSE
3205,2907558,Caturama,Bahia,9329,FALSE
3206,2924900,Planaltino,Bahia,9322,FALSE
3207,2204204,Francisco Santos,Piauí,9319,FALSE
3208,3103009,Antônio Dias,Minas Gerais,9318,FALSE
3209,3112901,Caputira,Minas Gerais,9298,FALSE
3210,2907004,Cardeal da Silva,Bahia,9295,FALSE
3211,2101970,Boa Vista do Gurupi,Maranhão,9287,FALSE
3212,3304508,Rio das Flores,Rio de Janeiro,9284,FALSE
3213,3535200,Palmeira d'Oeste,São Paulo,9283,FALSE
3214,2805307,Pirambu,Sergipe,9280,FALSE
3215,3103900,Araújos,Minas Gerais,9273,FALSE
3216,2401404,Baía Formosa,Rio Grande do Norte,9271,FALSE
3217,4305306,Chapada,Rio Grande do Sul,9269,FALSE
3218,1714203,Natividade,Tocantins,9244,FALSE
3219,3519253,Iaras,São Paulo,9240,FALSE
3220,3511300,Cedral,São Paulo,9237,FALSE
3221,2912004,Ibiassucê,Bahia,9224,FALSE
3222,3119500,Coronel Murta,Minas Gerais,9222,FALSE
3223,2905107,Caém,Bahia,9213,FALSE
3224,3205150,Vila Pavão,Espírito Santo,9208,FALSE
3225,2102150,Brejo de Areia,Maranhão,9188,FALSE
3226,5106265,Novo Mundo,Mato Grosso,9178,FALSE
3227,5108956,Nova Monte Verde,Mato Grosso,9178,FALSE
3228,4313953,Pantano Grande,Rio Grande do Sul,9174,FALSE
3229,1304005,Silves,Amazonas,9171,FALSE
3230,2933109,Várzea do Poço,Bahia,9170,FALSE
3231,2704609,Maravilha,Alagoas,9163,FALSE
3232,2107001,Montes Altos,Maranhão,9160,FALSE
3233,2206696,Murici dos Portelas,Piauí,9159,FALSE
3234,3118700,Coqueiral,Minas Gerais,9159,FALSE
3235,1302009,Itapiranga,Amazonas,9148,FALSE
3236,5214408,Nazário,Goiás,9142,FALSE
3237,2405009,Jaçanã,Rio Grande do Norte,9133,FALSE
3238,2918456,Jucuruçu,Bahia,9126,FALSE
3239,2922854,Nova Redenção,Bahia,9118,FALSE
3240,2403806,Florânia,Rio Grande do Norte,9116,FALSE
3241,3555802,Urânia,São Paulo,9114,FALSE
3242,5004809,Japorã,Mato Grosso do Sul,9110,FALSE
3243,1600105,Amapá,Amapá,9109,FALSE
3244,2701803,Carneiros,Alagoas,9081,FALSE
3245,2310605,Penaforte,Ceará,9077,FALSE
3246,3542107,Rafard,São Paulo,9076,FALSE
3247,3504800,Bálsamo,São Paulo,9068,FALSE
3248,2921906,Mucugê,Bahia,9062,FALSE
